EM_ID,Exercise_ID,Muscle_ID,Muscle_Role,Intensity_Value,Intensity_Source,Contraction_Type,Notes
314,EX0007,MU0024,Stabilizer,5,Specific,Isometric,Maintains spinal extension in plank; moderate in decline.
315,EX0007,MU0025,Stabilizer,5,Specific,Isometric,Stabilizes pelvis against lateral tilt in plank.
316,EX0007,MU0005,Stabilizer,2,Specific,Isometric,Minor ankle stabilization in plank.
317,EX0007,MU0006,Stabilizer,2,Specific,Isometric,Assists ankle stability in plank position.
318,EX0007,MU0003,Stabilizer,1,Group,Isometric,Minimal lateral ankle support.
319,EX0007,MU0004,Stabilizer,1,Group,Isometric,Minimal lateral ankle support.
320,EX0007,MU0002,Stabilizer,1,Specific,Isometric,Negligible shin stabilization.
321,EX0007,MU0001,Stabilizer,1,Specific,Isometric,Negligible arch support.
322,EX0007,MU0035,Stabilizer,2,Specific,Isometric,Minor rotator cuff stabilization.
323,EX0007,MU0033,Stabilizer,2,Specific,Isometric,Minimal rotator cuff support.
324,EX0007,MU0032,Stabilizer,2,Specific,Isometric,Minor shoulder stabilization during push.
325,EX0007,MU0034,Stabilizer,2,Specific,Isometric,Minimal rotator cuff involvement.
326,EX0007,MU0036,Primary,7,Specific,Isotonic,Assists shoulder flexion; high in decline push.
327,EX0007,MU0037,Secondary,4,Specific,Isotonic,Supports shoulder abduction/stability.
328,EX0007,MU0038,Stabilizer,2,Specific,Isometric,Minimal shoulder support.
329,EX0007,MU0048,Stabilizer,1,Specific,Isometric,Negligible elbow stabilization.
330,EX0007,MU0049,Stabilizer,1,Specific,Isometric,Minimal involvement.
331,EX0007,MU0050,Stabilizer,1,Specific,Isometric,Negligible elbow support.
332,EX0007,MU0045,Primary,7,Specific,Isotonic,Elbow extension during push; strong role.
333,EX0007,MU0046,Primary,7,Specific,Isotonic,Assists elbow extension and shoulder stability.
334,EX0007,MU0047,Primary,6,Specific,Isotonic,Supports triceps in elbow extension.
335,EX0007,MU0029,Stabilizer,2,Specific,Isometric,Minor upper back stabilization.
336,EX0007,MU0030,Stabilizer,2,Specific,Isometric,Negligible scapular retraction.
337,EX0007,MU0026,Stabilizer,2,Group,Isometric,Minor upper back support for posture.
338,EX0007,MU0027,Stabilizer,2,Group,Isometric,Minor upper back support for posture.
339,EX0007,MU0028,Stabilizer,2,Group,Isometric,Minor upper back support for posture.
340,EX0007,MU0017,Stabilizer,1,Specific,Isometric,Negligible hip stabilization in plank.
341,EX0007,MU0014,Stabilizer,2,Group,Isometric,Minor hip support in plank position.
342,EX0007,MU0015,Stabilizer,2,Group,Isometric,Minor hip support in plank position.
343,EX0007,MU0016,Stabilizer,2,Group,Isometric,Minor hip support in plank position.
344,EX0007,MU0011,Stabilizer,1,Group,Isometric,Negligible leg involvement.
345,EX0007,MU0012,Stabilizer,1,Group,Isometric,Negligible leg involvement.
346,EX0007,MU0013,Stabilizer,1,Group,Isometric,Negligible leg involvement.
347,EX0007,MU0007,Stabilizer,2,Group,Isometric,Stabilizes knees in plank; minimal.
348,EX0007,MU0008,Stabilizer,2,Group,Isometric,Stabilizes knees in plank; minimal.
349,EX0007,MU0009,Stabilizer,2,Group,Isometric,Stabilizes knees in plank; minimal.
350,EX0007,MU0010,Stabilizer,2,Group,Isometric,Stabilizes knees in plank; minimal.
351,EX0008,MU0053,Stabilizer,1,Specific,Isometric,Minimal wrist stability.
352,EX0008,MU0039,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
353,EX0008,MU0040,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
354,EX0008,MU0041,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
355,EX0008,MU0042,Stabilizer,1,Specific,Isometric,Negligible scapular support.
356,EX0008,MU0043,Stabilizer,1,Specific,Isometric,Minimal scapular stabilization.
357,EX0008,MU0044,Stabilizer,1,Specific,Isometric,Irrelevant; no clavicle demand.
358,EX0008,MU0020,Stabilizer,3,Specific,Isometric,Minor bracing for standing balance; ledge adds slight demand.
359,EX0008,MU0021,Stabilizer,3,Specific,Isometric,Minimal anti-rotation support.
360,EX0008,MU0018,Stabilizer,3,Specific,Isometric,Low demand for torso stability.
361,EX0008,MU0022,Stabilizer,3,Specific,Isometric,Minor intra-abdominal pressure for posture.
362,EX0008,MU0056,Stabilizer,1,Specific,Isometric,Negligible arm stabilization.
363,EX0008,MU0052,Stabilizer,1,Specific,Isometric,Negligible grip demand.
364,EX0008,MU0024,Stabilizer,3,Specific,Isometric,Supports spine in standing position; more than seated.
365,EX0008,MU0025,Stabilizer,3,Specific,Isometric,Minor pelvic stabilization for balance.
366,EX0008,MU0005,Primary,9,Specific,Isotonic,Main driver of plantarflexion; straight legs maximize activation.
367,EX0008,MU0006,Primary,7,Specific,Isotonic,Assists plantarflexion; high but less than gastrocnemius.
368,EX0008,MU0003,Secondary,3,Group,Isometric,Prevents ankle rolling; moderate due to ledge.
369,EX0008,MU0004,Secondary,3,Group,Isometric,Prevents ankle rolling; moderate due to ledge.
370,EX0008,MU0002,Stabilizer,2,Specific,Isometric,Slight shin stabilization against ledge.
371,EX0008,MU0001,Secondary,3,Specific,Isotonic,Assists ankle stability; slight inversion role.
372,EX0008,MU0035,Stabilizer,1,Specific,Isometric,Negligible rotator cuff involvement.
373,EX0008,MU0033,Stabilizer,1,Specific,Isometric,Minimal rotator cuff support.
374,EX0008,MU0032,Stabilizer,1,Specific,Isometric,Negligible shoulder stabilization.
375,EX0008,MU0034,Stabilizer,1,Specific,Isometric,Minimal rotator cuff role.
376,EX0008,MU0036,Stabilizer,1,Specific,Isometric,Negligible shoulder support.
377,EX0008,MU0037,Stabilizer,1,Specific,Isometric,Minimal abduction stabilization.
378,EX0008,MU0038,Stabilizer,1,Specific,Isometric,Negligible shoulder involvement.
379,EX0008,MU0048,Stabilizer,1,Specific,Isometric,Minimal arm stabilization.
380,EX0008,MU0049,Stabilizer,1,Specific,Isometric,Negligible arm support.
381,EX0008,MU0050,Stabilizer,1,Specific,Isometric,Minimal elbow stabilization.
382,EX0008,MU0045,Stabilizer,1,Specific,Isometric,Negligible elbow support.
383,EX0008,MU0046,Stabilizer,1,Specific,Isometric,Minimal shoulder stabilization.
384,EX0008,MU0047,Stabilizer,1,Specific,Isometric,Negligible involvement.
385,EX0008,MU0029,Stabilizer,1,Specific,Isometric,Minimal upper back stabilization.
386,EX0008,MU0030,Stabilizer,1,Specific,Isometric,Negligible scapular support.
387,EX0008,MU0026,Stabilizer,1,Group,Isometric,Minimal upper back involvement.
388,EX0008,MU0027,Stabilizer,1,Group,Isometric,Minimal upper back involvement.
389,EX0008,MU0028,Stabilizer,1,Group,Isometric,Minimal upper back involvement.
390,EX0008,MU0017,Stabilizer,2,Specific,Isometric,Minor hip stabilization for standing posture.
391,EX0008,MU0014,Stabilizer,2,Group,Isometric,Minimal hip support in standing position.
392,EX0008,MU0015,Stabilizer,2,Group,Isometric,Minimal hip support in standing position.
393,EX0008,MU0016,Stabilizer,2,Group,Isometric,Minimal hip support in standing position.
394,EX0008,MU0011,Stabilizer,2,Group,Isometric,Negligible leg involvement.
395,EX0008,MU0012,Stabilizer,2,Group,Isometric,Negligible leg involvement.
396,EX0008,MU0013,Stabilizer,2,Group,Isometric,Negligible leg involvement.
397,EX0008,MU0007,Stabilizer,2,Group,Isometric,Stabilizes knees in standing position; minimal.
398,EX0008,MU0008,Stabilizer,2,Group,Isometric,Stabilizes knees in standing position; minimal.
399,EX0008,MU0009,Stabilizer,2,Group,Isometric,Stabilizes knees in standing position; minimal.
400,EX0008,MU0010,Stabilizer,2,Group,Isometric,Stabilizes knees in standing position; minimal.
401,EX0009,MU0053,Stabilizer,3,Specific,Isometric,Maintains wrist stability during crossover.
402,EX0009,MU0039,Primary,9,Group,Isotonic,Drives shoulder adduction/flexion; high inner chest focus.
403,EX0009,MU0040,Primary,9,Group,Isotonic,Drives shoulder adduction/flexion; high inner chest focus.
404,EX0009,MU0041,Primary,9,Group,Isotonic,Drives shoulder adduction/flexion; high inner chest focus.
405,EX0009,MU0042,Secondary,4,Specific,Isotonic,Assists scapular depression; moderate role.
406,EX0009,MU0043,Secondary,5,Specific,Isotonic,Supports scapular protraction in crossover.
407,EX0009,MU0044,Stabilizer,1,Specific,Isometric,Negligible clavicle stabilization.
408,EX0009,MU0020,Stabilizer,4,Specific,Isometric,Minor bracing for standing posture.
409,EX0009,MU0021,Stabilizer,4,Specific,Isometric,Minimal anti-rotation support.
410,EX0009,MU0018,Stabilizer,3,Specific,Isometric,Low demand for torso stability.
411,EX0009,MU0022,Stabilizer,4,Specific,Isometric,Minor intra-abdominal pressure.
412,EX0009,MU0056,Stabilizer,3,Specific,Isometric,Minor elbow stabilization for grip.
413,EX0009,MU0052,Stabilizer,3,Specific,Isometric,Grips handles; moderate for tension.
414,EX0009,MU0024,Stabilizer,3,Specific,Isometric,Supports spine in standing position.
415,EX0009,MU0025,Stabilizer,3,Specific,Isometric,Minor pelvic stabilization for posture.
416,EX0009,MU0005,Stabilizer,1,Specific,Isometric,Negligible ankle stabilization.
417,EX0009,MU0006,Stabilizer,1,Specific,Isometric,Minimal ankle support.
418,EX0009,MU0003,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
419,EX0009,MU0004,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
420,EX0009,MU0002,Stabilizer,1,Specific,Isometric,Negligible shin stabilization.
421,EX0009,MU0001,Stabilizer,1,Specific,Isometric,Negligible arch support.
422,EX0009,MU0035,Stabilizer,1,Specific,Isometric,Negligible rotator cuff involvement.
423,EX0009,MU0033,Stabilizer,1,Specific,Isometric,Minimal rotator cuff support.
424,EX0009,MU0032,Stabilizer,1,Specific,Isometric,Negligible shoulder stabilization.
425,EX0009,MU0034,Stabilizer,1,Specific,Isometric,Minimal rotator cuff role.
426,EX0009,MU0036,Secondary,6,Specific,Isotonic,Assists shoulder flexion in crossover.
427,EX0009,MU0037,Stabilizer,3,Specific,Isometric,Minor shoulder support.
428,EX0009,MU0038,Stabilizer,1,Specific,Isometric,Negligible involvement.
429,EX0009,MU0048,Secondary,3,Specific,Isotonic,Minor elbow stabilization during crossover.
430,EX0009,MU0049,Secondary,3,Specific,Isotonic,Minimal elbow support.
431,EX0009,MU0050,Secondary,3,Specific,Isotonic,Minor elbow flexion stabilization.
432,EX0009,MU0045,Stabilizer,1,Specific,Isometric,Negligible elbow support.
433,EX0009,MU0046,Stabilizer,1,Specific,Isometric,Minimal shoulder stabilization.
434,EX0009,MU0047,Stabilizer,1,Specific,Isometric,Negligible involvement.
435,EX0009,MU0029,Stabilizer,2,Specific,Isometric,Minor upper back support.
436,EX0009,MU0030,Stabilizer,2,Specific,Isometric,Negligible scapular retraction.
437,EX0009,MU0026,Stabilizer,2,Group,Isometric,Minor upper back involvement.
438,EX0009,MU0027,Stabilizer,2,Group,Isometric,Minor upper back involvement.
439,EX0009,MU0028,Stabilizer,2,Group,Isometric,Minor upper back involvement.
440,EX0009,MU0017,Stabilizer,1,Specific,Isometric,Negligible hip stabilization in standing.
441,EX0009,MU0014,Stabilizer,1,Group,Isometric,Minimal hip support in standing position.
442,EX0009,MU0015,Stabilizer,1,Group,Isometric,Minimal hip support in standing position.
443,EX0009,MU0016,Stabilizer,1,Group,Isometric,Minimal hip support in standing position.
444,EX0009,MU0011,Stabilizer,1,Group,Isometric,Negligible leg involvement.
445,EX0009,MU0012,Stabilizer,1,Group,Isometric,Negligible leg involvement.
446,EX0009,MU0013,Stabilizer,1,Group,Isometric,Negligible leg involvement.
447,EX0009,MU0007,Stabilizer,1,Group,Isometric,Minimal knee stabilization in standing.
448,EX0009,MU0008,Stabilizer,1,Group,Isometric,Minimal knee stabilization in standing.
449,EX0009,MU0009,Stabilizer,1,Group,Isometric,Minimal knee stabilization in standing.
450,EX0009,MU0010,Stabilizer,1,Group,Isometric,Minimal knee stabilization in standing.
451,EX0010,MU0053,Stabilizer,1,Specific,Isometric,Negligible wrist stability.
452,EX0010,MU0024,Primary,9,Specific,Isotonic,Drives spinal extension; primary focus.
453,EX0010,MU0014,Primary,8,Group,Isotonic,Hip extension; strong but less than hamstrings.
454,EX0010,MU0015,Primary,8,Group,Isotonic,Hip extension; strong but less than hamstrings.
455,EX0010,MU0016,Primary,8,Group,Isotonic,Hip extension; strong but less than hamstrings.
456,EX0010,MU0011,Secondary,7,Group,Isotonic,Assists hip extension; strong role in hinge.
457,EX0010,MU0012,Secondary,7,Group,Isotonic,Assists hip extension; strong role in hinge.
458,EX0010,MU0013,Secondary,7,Group,Isotonic,Assists hip extension; strong role in hinge.
459,EX0010,MU0018,Stabilizer,6,Specific,Isometric,Resists spinal flexion; moderate bracing.
460,EX0010,MU0022,Stabilizer,6,Specific,Isometric,Intra-abdominal pressure for spinal support.
461,EX0010,MU0020,Stabilizer,5,Specific,Isometric,Assists in resisting rotation during extension.
462,EX0010,MU0021,Stabilizer,5,Specific,Isometric,Supports anti-rotation and stability.
463,EX0010,MU0025,Stabilizer,5,Specific,Isometric,Stabilizes pelvis during extension.
464,EX0010,MU0017,Secondary,3,Specific,Isometric,Minor hip stabilization during extension.
465,EX0010,MU0005,Secondary,2,Specific,Isometric,Minor ankle stabilization.
466,EX0010,MU0006,Secondary,2,Specific,Isometric,Assists ankle stability.
467,EX0010,MU0029,Stabilizer,2,Specific,Isometric,Minor upper back stabilization.
468,EX0010,MU0030,Stabilizer,2,Specific,Isometric,Negligible scapular support.
469,EX0010,MU0026,Stabilizer,2,Group,Isometric,Minimal upper back involvement.
470,EX0010,MU0027,Stabilizer,2,Group,Isometric,Minimal upper back involvement.
471,EX0010,MU0028,Stabilizer,2,Group,Isometric,Minimal upper back involvement.
472,EX0010,MU0007,Stabilizer,2,Group,Isometric,Stabilizes knees; minimal.
473,EX0010,MU0008,Stabilizer,2,Group,Isometric,Stabilizes knees; minimal.
474,EX0010,MU0009,Stabilizer,2,Group,Isometric,Stabilizes knees; minimal.
475,EX0010,MU0010,Stabilizer,2,Group,Isometric,Stabilizes knees; minimal.
476,EX0010,MU0039,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
477,EX0010,MU0040,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
478,EX0010,MU0041,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
479,EX0010,MU0042,Stabilizer,1,Specific,Isometric,Negligible scapular support.
480,EX0010,MU0043,Stabilizer,1,Specific,Isometric,Minimal scapular stabilization.
481,EX0010,MU0044,Stabilizer,1,Specific,Isometric,Irrelevant; no clavicle demand.
482,EX0010,MU0056,Stabilizer,1,Specific,Isometric,Negligible arm stabilization.
483,EX0010,MU0052,Stabilizer,1,Specific,Isometric,Minimal grip demand.
484,EX0010,MU0003,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
485,EX0010,MU0004,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
486,EX0010,MU0002,Stabilizer,1,Specific,Isometric,Negligible shin stabilization.
487,EX0010,MU0001,Stabilizer,1,Specific,Isometric,Negligible arch support.
488,EX0010,MU0035,Stabilizer,1,Specific,Isometric,Negligible rotator cuff involvement.
489,EX0010,MU0033,Stabilizer,1,Specific,Isometric,Minimal rotator cuff support.
490,EX0010,MU0032,Stabilizer,1,Specific,Isometric,Negligible shoulder stabilization.
491,EX0010,MU0034,Stabilizer,1,Specific,Isometric,Minimal rotator cuff role.
492,EX0010,MU0036,Stabilizer,1,Specific,Isometric,Negligible shoulder support.
493,EX0010,MU0037,Stabilizer,1,Specific,Isometric,Minimal abduction stabilization.
494,EX0010,MU0038,Stabilizer,1,Specific,Isometric,Negligible shoulder involvement.
495,EX0010,MU0048,Stabilizer,1,Specific,Isometric,Minimal arm stabilization.
496,EX0010,MU0049,Stabilizer,1,Specific,Isometric,Negligible arm support.
497,EX0010,MU0050,Stabilizer,1,Specific,Isometric,Minimal elbow stabilization.
498,EX0010,MU0045,Stabilizer,1,Specific,Isometric,Negligible elbow support.
499,EX0010,MU0046,Stabilizer,1,Specific,Isometric,Minimal shoulder stabilization.
500,EX0010,MU0047,Stabilizer,1,Specific,Isometric,Negligible involvement.
501,EX0011,MU0053,Stabilizer,3,Specific,Isometric,Maintains wrist stability during extension.
502,EX0011,MU0039,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
503,EX0011,MU0040,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
504,EX0011,MU0041,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
505,EX0011,MU0042,Stabilizer,1,Specific,Isometric,Negligible scapular support.
506,EX0011,MU0043,Stabilizer,1,Specific,Isometric,Minimal scapular stabilization.
507,EX0011,MU0044,Stabilizer,1,Specific,Isometric,Irrelevant; no clavicle demand.
508,EX0011,MU0020,Stabilizer,3,Specific,Isometric,Minor bracing for standing posture.
509,EX0011,MU0021,Stabilizer,3,Specific,Isometric,Minimal anti-rotation support.
510,EX0011,MU0018,Stabilizer,3,Specific,Isometric,Low demand for torso stability.
511,EX0011,MU0022,Stabilizer,4,Specific,Isometric,Minor intra-abdominal pressure.
512,EX0011,MU0056,Stabilizer,3,Specific,Isometric,Minor elbow stabilization.
513,EX0011,MU0052,Stabilizer,3,Specific,Isometric,Grips handle; moderate for tension.
514,EX0011,MU0024,Stabilizer,3,Specific,Isometric,Supports spine in standing position.
515,EX0011,MU0025,Stabilizer,3,Specific,Isometric,Minor pelvic stabilization for posture.
516,EX0011,MU0005,Stabilizer,1,Specific,Isometric,Negligible ankle stabilization.
517,EX0011,MU0006,Stabilizer,1,Specific,Isometric,Minimal ankle support.
518,EX0011,MU0003,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
519,EX0011,MU0004,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
520,EX0011,MU0002,Stabilizer,1,Specific,Isometric,Negligible shin stabilization.
521,EX0011,MU0001,Stabilizer,1,Specific,Isometric,Negligible arch support.
522,EX0011,MU0035,Stabilizer,1,Specific,Isometric,Negligible rotator cuff involvement.
523,EX0011,MU0033,Stabilizer,1,Specific,Isometric,Minimal rotator cuff support.
524,EX0011,MU0032,Stabilizer,1,Specific,Isometric,Negligible shoulder stabilization.
525,EX0011,MU0034,Stabilizer,1,Specific,Isometric,Minimal rotator cuff role.
526,EX0011,MU0036,Stabilizer,2,Specific,Isometric,Minor shoulder support in overhead position.
527,EX0011,MU0037,Stabilizer,2,Specific,Isometric,Minimal abduction stabilization.
528,EX0011,MU0038,Stabilizer,2,Specific,Isometric,Minor shoulder involvement.
529,EX0011,MU0048,Stabilizer,1,Specific,Isometric,Minimal elbow stabilization.
530,EX0011,MU0049,Stabilizer,1,Specific,Isometric,Negligible elbow support.
531,EX0011,MU0050,Stabilizer,1,Specific,Isometric,Minimal elbow stabilization.
532,EX0011,MU0045,Primary,8,Specific,Isotonic,Drives elbow extension; strong role in overhead.
533,EX0011,MU0046,Primary,9,Specific,Isotonic,Primary driver with overhead stretch; high activation.
534,EX0011,MU0047,Primary,7,Specific,Isotonic,Supports triceps in elbow extension; strong role.
535,EX0011,MU0029,Stabilizer,2,Specific,Isometric,Minor upper back support.
536,EX0011,MU0030,Stabilizer,2,Specific,Isometric,Negligible scapular retraction.
537,EX0011,MU0026,Stabilizer,2,Group,Isometric,Minor upper back involvement.
538,EX0011,MU0027,Stabilizer,2,Group,Isometric,Minor upper back involvement.
539,EX0011,MU0028,Stabilizer,2,Group,Isometric,Minor upper back involvement.
540,EX0011,MU0017,Stabilizer,1,Specific,Isometric,Negligible hip stabilization.
541,EX0011,MU0014,Stabilizer,1,Group,Isometric,Minimal hip support in standing position.
542,EX0011,MU0015,Stabilizer,1,Group,Isometric,Minimal hip support in standing position.
543,EX0011,MU0016,Stabilizer,1,Group,Isometric,Minimal hip support in standing position.
544,EX0011,MU0011,Stabilizer,1,Group,Isometric,Negligible leg involvement.
545,EX0011,MU0012,Stabilizer,1,Group,Isometric,Negligible leg involvement.
546,EX0011,MU0013,Stabilizer,1,Group,Isometric,Negligible leg involvement.
547,EX0011,MU0007,Stabilizer,1,Group,Isometric,Minimal knee stabilization.
548,EX0011,MU0008,Stabilizer,1,Group,Isometric,Minimal knee stabilization.
549,EX0011,MU0009,Stabilizer,1,Group,Isometric,Minimal knee stabilization.
550,EX0011,MU0010,Stabilizer,1,Group,Isometric,Minimal knee stabilization.
551,EX0012,MU0053,Stabilizer,2,Specific,Isometric,Maintains wrist stability during raise.
552,EX0012,MU0037,Primary,9,Specific,Isotonic,Drives shoulder abduction; primary focus.
553,EX0012,MU0032,Primary,5,Specific,Isotonic,Initiates abduction; strong role in lateral raise.
554,EX0012,MU0038,Secondary,4,Specific,Isotonic,Assists abduction from behind-body start.
555,EX0012,MU0026,Secondary,4,Group,Isometric,Supports scapular elevation/stability during raise.
556,EX0012,MU0027,Secondary,4,Group,Isometric,Supports scapular elevation/stability during raise.
557,EX0012,MU0028,Secondary,4,Group,Isometric,Supports scapular elevation/stability during raise.
558,EX0012,MU0022,Stabilizer,3,Specific,Isometric,Minor intra-abdominal pressure.
559,EX0012,MU0035,Stabilizer,3,Specific,Isometric,Assists rotator cuff stability during raise.
560,EX0012,MU0033,Stabilizer,3,Specific,Isometric,Supports rotator cuff in abduction.
561,EX0012,MU0034,Stabilizer,3,Specific,Isometric,Assists rotator cuff stabilization.
562,EX0012,MU0036,Stabilizer,3,Specific,Isometric,Minor shoulder support in lateral plane.
563,EX0012,MU0020,Stabilizer,2,Specific,Isometric,Minor bracing for standing posture.
564,EX0012,MU0021,Stabilizer,2,Specific,Isometric,Minimal anti-rotation support.
565,EX0012,MU0018,Stabilizer,2,Specific,Isometric,Low demand for torso stability.
566,EX0012,MU0056,Stabilizer,2,Specific,Isometric,Minor elbow stabilization for grip.
567,EX0012,MU0052,Stabilizer,2,Specific,Isometric,Grips handle; low for light tension.
568,EX0012,MU0024,Stabilizer,2,Specific,Isometric,Supports spine in standing position.
569,EX0012,MU0025,Stabilizer,2,Specific,Isometric,Minor pelvic stabilization for posture.
570,EX0012,MU0029,Stabilizer,2,Specific,Isometric,Minor upper back support.
571,EX0012,MU0030,Stabilizer,2,Specific,Isometric,Negligible scapular retraction.
572,EX0012,MU0039,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
573,EX0012,MU0040,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
574,EX0012,MU0041,Stabilizer,1,Group,Isometric,Negligible upper body involvement.
575,EX0012,MU0042,Stabilizer,1,Specific,Isometric,Negligible scapular support.
576,EX0012,MU0043,Stabilizer,1,Specific,Isometric,Minimal scapular stabilization.
577,EX0012,MU0044,Stabilizer,1,Specific,Isometric,Irrelevant; no clavicle demand.
578,EX0012,MU0005,Stabilizer,1,Specific,Isometric,Negligible ankle stabilization.
579,EX0012,MU0006,Stabilizer,1,Specific,Isometric,Minimal ankle support.
580,EX0012,MU0003,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
581,EX0012,MU0004,Stabilizer,1,Group,Isometric,Negligible lateral ankle support.
582,EX0012,MU0002,Stabilizer,1,Specific,Isometric,Negligible shin stabilization.
583,EX0012,MU0001,Stabilizer,1,Specific,Isometric,Negligible arch support.
584,EX0012,MU0048,Stabilizer,1,Specific,Isometric,Negligible elbow stabilization.
585,EX0012,MU0049,Stabilizer,1,Specific,Isometric,Minimal elbow support.
586,EX0012,MU0050,Stabilizer,1,Specific,Isometric,Minimal elbow stabilization.
587,EX0012,MU0045,Stabilizer,1,Specific,Isometric,Negligible elbow support.
588,EX0012,MU0046,Stabilizer,1,Specific,Isometric,Minimal shoulder stabilization.
589,EX0012,MU0047,Stabilizer,1,Specific,Isometric,Negligible involvement.
590,EX0012,MU0017,Stabilizer,1,Specific,Isometric,Negligible hip stabilization in standing.
591,EX0012,MU0014,Stabilizer,1,Group,Isometric,Minimal hip support in standing position.
592,EX0012,MU0015,Stabilizer,1,Group,Isometric,Minimal hip support in standing position.
593,EX0012,MU0016,Stabilizer,1,Group,Isometric,Minimal hip support in standing position.
594,EX0012,MU0011,Stabilizer,1,Group,Isometric,Negligible leg involvement.
595,EX0012,MU0012,Stabilizer,1,Group,Isometric,Negligible leg involvement.
596,EX0012,MU0013,Stabilizer,1,Group,Isometric,Negligible leg involvement.
597,EX0012,MU0007,Stabilizer,1,Group,Isometric,Minimal knee stabilization in standing.
598,EX0012,MU0008,Stabilizer,1,Group,Isometric,Minimal knee stabilization in standing.
599,EX0012,MU0009,Stabilizer,1,Group,Isometric,Minimal knee stabilization in standing.
600,EX0012,MU0010,Stabilizer,1,Group,Isometric,Minimal knee stabilization in standing.
601,EX0013,MU0053,Stabilizer,2,Specific,Isometric,Assists wrist stability for grip. (folds Extensor Digitorum; kept max of extensor-compartment scores)
602,EX0013,MU0039,Stabilizer,1,Group,Isometric,Minimal upper body stabilization.
603,EX0013,MU0040,Stabilizer,1,Group,Isometric,Minimal upper body stabilization.
604,EX0013,MU0041,Stabilizer,1,Group,Isometric,Minimal upper body stabilization.
605,EX0013,MU0042,Stabilizer,1,Specific,Isometric,Negligible scapular involvement.
606,EX0013,MU0043,Stabilizer,1,Specific,Isometric,Minimal scapular protraction.
607,EX0013,MU0044,Stabilizer,1,Specific,Isometric,Irrelevant; no clavicle demand.
608,EX0013,MU0020,Stabilizer,6,Specific,Isometric,Assists in core bracing to prevent lateral bending.
609,EX0013,MU0021,Stabilizer,6,Specific,Isometric,Supports core stability and anti-rotation.
610,EX0013,MU0018,Stabilizer,7,Specific,Isometric,Braces to resist flexion; upright posture demand.
611,EX0013,MU0022,Stabilizer,8,Specific,Isometric,Intra-abdominal pressure for spinal stability.
612,EX0013,MU0056,Stabilizer,2,Specific,Isometric,Minor grip support for bar.
613,EX0013,MU0052,Stabilizer,2,Specific,Isometric,Supports bar grip on upper back.
614,EX0013,MU0024,Stabilizer,9,Specific,Isometric,Prevents spinal rounding; critical under load.
615,EX0013,MU0025,Stabilizer,5,Specific,Isometric,Stabilizes pelvis against lateral tilt.
616,EX0013,MU0005,Secondary,2,Specific,Isotonic,Minor ankle plantarflexion during ascent.
617,EX0013,MU0006,Secondary,2,Specific,Isometric,Assists ankle stability.
618,EX0013,MU0003,Stabilizer,1,Group,Isometric,Minimal lateral ankle support.
619,EX0013,MU0004,Stabilizer,1,Group,Isometric,Minimal lateral ankle support.
620,EX0013,MU0002,Stabilizer,1,Specific,Isometric,Slight shin stabilization.
621,EX0013,MU0001,Stabilizer,1,Specific,Isometric,Negligible arch support.
622,EX0013,MU0035,Stabilizer,1,Specific,Isometric,Minimal rotator cuff stabilization for bar hold.
623,EX0013,MU0033,Stabilizer,1,Specific,Isometric,Negligible rotator cuff support.
624,EX0013,MU0032,Stabilizer,1,Specific,Isometric,Minimal shoulder stabilization.
625,EX0013,MU0034,Stabilizer,1,Specific,Isometric,Minimal rotator cuff involvement.
626,EX0013,MU0036,Stabilizer,1,Specific,Isometric,Negligible shoulder support.
627,EX0013,MU0037,Stabilizer,1,Specific,Isometric,Minimal abduction stabilization.
628,EX0013,MU0038,Stabilizer,1,Specific,Isometric,Negligible for bar placement.
629,EX0013,MU0048,Stabilizer,1,Specific,Isometric,Negligible elbow support.
630,EX0013,MU0049,Stabilizer,1,Specific,Isometric,Minimal involvement.
631,EX0013,MU0050,Stabilizer,1,Specific,Isometric,Negligible elbow flexion support.
632,EX0013,MU0045,Stabilizer,1,Specific,Isometric,Minimal elbow extension support.
633,EX0013,MU0046,Stabilizer,1,Specific,Isometric,Slight shoulder stabilization.
634,EX0013,MU0047,Stabilizer,1,Specific,Isometric,Minimal involvement.
635,EX0013,MU0029,Stabilizer,4,Specific,Isometric,Assists in stabilizing bar and posture.
636,EX0013,MU0030,Stabilizer,4,Specific,Isometric,Retracts scapulae for bar stability.
637,EX0013,MU0026,Stabilizer,5,Group,Isometric,Supports bar on upper back; upper traps engaged.
